possession_id,score_id,team,throws,result
15,491,opponent,8,score
16,492,remix,10,turnover
17,492,opponent,9,turnover
18,492,remix,2,turnover
19,492,opponent,4,turnover
20,492,remix,5,turnover
21,492,opponent,1,score
22,493,remix,1,turnover
23,493,opponent,9,score
24,494,remix,3,score
25,495,opponent,3,turnover
26,495,remix,9,turnover
27,495,opponent,2,score
28,496,remix,26,turnover
29,496,opponent,9,turnover
30,496,remix,2,turnover
31,496,opponent,4,score
32,497,remix,8,turnover
33,497,opponent,2,turnover
34,497,remix,2,score
35,498,opponent,2,score
36,499,remix,3,turnover
37,499,opponent,10,score
38,500,remix,4,turnover
39,500,opponent,1,score
40,501,remix,8,turnover
41,501,opponent,3,turnover
42,501,remix,8,turnover
43,501,opponent,1,turnover
44,501,remix,3,turnover
45,501,opponent,5,score
46,502,remix,10,turnover
47,502,opponent,1,turnover
48,502,remix,3,score
49,503,opponent,15,score
50,504,remix,3,score
51,505,opponent,1,turnover
52,505,remix,1,score
53,506,opponent,19,score
54,507,remix,8,turnover
55,507,opponent,2,turnover
56,507,remix,5,turnover
57,507,opponent,4,turnover
58,507,remix,21,turnover
59,507,opponent,2,turnover
60,507,remix,8,turnover
61,507,opponent,2,turnover
62,507,remix,2,score
63,508,opponent,16,score
64,509,opponent,2,turnover
65,509,remix,2,turnover
66,509,remix,3,score
67,510,opponent,5,score
68,511,remix,3,score
69,512,opponent,8,score
70,513,remix,15,turnover
71,513,opponent,3,turnover
72,513,remix,10,turnover
73,513,opponent,5,score
